customer_state,seller_state,avg_carrier_delivery_date,avg_customer_delivery_date
SC,BA,3.5384615384615383,16.615384615384617
ES,SC,2.462962962962963,14.5
MA,ES,1.0,16.0
RO,BA,4.0,28.0
ES,RO,6.0,20.0
BA,RJ,2.7535211267605635,16.739436619718308
RN,MA,7.0,22.0
MT,MS,4.5,12.0
MG,MT,3.6666666666666665,13.19047619047619
MA,SP,3.8014571948998177,22.169398907103826
SP,CE,4.583333333333333,15.291666666666666
PR,MT,4.5,13.75
RN,GO,1.0,12.0
AC,SC,3.2,15.6
BA,BA,4.135135135135135,11.04054054054054
CE,DF,4.142857142857143,23.714285714285715
PA,GO,3.0,21.7
MT,RS,2.8214285714285716,15.571428571428571
RJ,BA,2.817204301075269,13.10752688172043
MS,PE,3.0,14.5
RO,MT,0.6666666666666666,15.0
SP,PR,3.5001497454327644,11.056287425149701
SC,MT,2.8333333333333335,17.0
RJ,RJ,2.867158671586716,6.4880073800738005
GO,SP,3.1647555823777913,15.67954133977067
PA,MA,2.6,27.6
SP,MG,3.239834596829773,10.86448275862069
SE,RS,3.625,20.375
SC,DF,3.8846153846153846,16.346153846153847
AL,RJ,4.230769230769231,24.153846153846153
PA,CE,8.666666666666666,30.0
RN,PR,5.95,24.75
AL,BA,2.3,16.1
DF,PE,1.3333333333333333,11.4
TO,SP,3.5973451327433628,17.446902654867255
CE,MT,7.0,24.0
RN,MG,3.6857142857142855,15.428571428571429
PA,MG,4.076086956521739,27.72826086956522
PR,DF,2.21875,12.0
AP,BA,2.0,21.0
SP,MA,5.753846153846154,16.20769230769231
ES,SP,3.3867982726711907,15.6631708821715
PA,PR,3.6379310344827585,25.43103448275862
RN,CE,1.0,14.0
SP,GO,2.715328467153285,11.007299270072993
RS,PE,3.0714285714285716,20.428571428571427
MG,DF,2.5925925925925926,9.453703703703704
DF,PB,4.0,17.0
AP,RJ,3.0,30.0
PE,MG,3.1043478260869564,16.530434782608697
RR,PR,1.1666666666666667,21.333333333333332
PB,MA,5.0,28.75
RR,MG,5.0,16.5
MG,PA,5.0,14.0
TO,DF,2.2,12.6
PE,PR,3.510204081632653,19.418367346938776
PR,RN,7.25,21.75
PR,PA,0.0,3.0
PB,GO,4.428571428571429,24.714285714285715
BA,ES,3.0,13.133333333333333
MT,PB,3.0,17.0
MG,RN,0.0,3.0
AP,SC,1.5,30.25
RO,SP,2.943589743589744,19.907692307692308
SC,SP,3.3805832410483574,15.766334440753045
GO,MT,2.2727272727272725,11.545454545454545
AL,SC,3.3636363636363638,22.727272727272727
RJ,ES,2.430555555555556,12.208333333333334
MG,SP,3.302206139838917,12.231002684720439
PI,MA,7.2,14.2
PE,CE,3.5714285714285716,16.571428571428573
SC,RN,13.0,22.0
PI,GO,3.0,21.5
ES,DF,3.3636363636363638,19.636363636363637
MA,MT,2.0,19.666666666666668
MT,PE,1.0,21.0
MS,RS,2.411764705882353,13.647058823529411
PR,SP,3.399279578830701,12.722083679689664
ES,MT,2.0,22.0
DF,RS,5.081632653061225,14.63265306122449
PE,GO,2.0,20.4
RS,MS,3.0,9.0
CE,RN,8.5,26.5
MA,DF,5.090909090909091,18.09090909090909
SE,PE,3.2222222222222223,11.333333333333334
PB,PR,3.6739130434782608,22.152173913043477
PI,CE,4.666666666666667,27.666666666666668
PE,MA,3.6818181818181817,15.363636363636363
PB,MG,3.413793103448276,20.896551724137932
RJ,RO,1.5,19.5
RJ,SC,3.250470809792844,16.03954802259887
RS,RS,3.710280373831776,7.638629283489097
GO,DF,2.694444444444444,9.083333333333334
DF,MS,1.75,10.0
AC,BA,3.0,67.0
AM,SP,2.8899082568807337,26.128440366972477
BA,RO,3.0,16.0
BA,SC,2.6,20.7625
PI,PR,2.5,17.6
AC,RJ,3.0,20.0
PI,MG,2.878787878787879,15.757575757575758
SE,PB,4.0,11.0
CE,SP,3.3501374885426216,20.890925756186984
